Board	Card	Note	StartDate	StartTime	EndDate	EndTime	TrackedTimeHours	Billable
Colégio Clemente Pavan	No card	Ajustes no fluxo de boas vindas	2026-07-27	13:37	2026-07-27	14:34	0.95	
Colégio Clemente Pavan	No card	Configuração final dos disparos de rematrícula API Oficial - 27/07	2026-07-27	14:48	2026-07-27	15:33	0.75	Yes
Colégio Clemente Pavan	No card	Ajustes no fluxo de boas vindas	2026-07-27	16:48	2026-07-27	17:10	0.37	
Colégio Clemente Pavan	No card	Ajustes site CCP + Integração QR Code Matrículas no CRM	2026-07-30	13:15	2026-07-30	13:45	0.5	Yes
Colégio Clemente Pavan	No card	Reunião de Acompanhamento CRM - Matheus & CCP.	2026-07-30	14:30	2026-07-30	17:30	3	
Colégio Clemente Pavan	No card	Programação de postagens	2026-07-31	14:35	2026-07-31	15:23	0.8	
Colégio Clemente Pavan	No card		2026-07-31	17:01	2026-07-31	17:35	0.57	
Colégio Clemente Pavan	Subir base de matriculados no Datacrazy		2026-07-07	15:55	2026-07-07	16:18	0.38	Yes
Colégio Clemente Pavan	Subir base de matriculados no Datacrazy		2026-07-07	16:49	2026-07-07	18:05	1.27	Yes
Colégio Clemente Pavan	Campanha de Matrículas - Apelo Anglo		2026-07-09	09:38	2026-07-09	11:48	2.17	
Colégio Clemente Pavan	Campanha de Matrículas - Apelo Anglo	Criação das peças	2026-07-30	10:34	2026-07-30	11:02	0.47	
Colégio Clemente Pavan	Campanha de Matrículas - Apelo Anglo		2026-07-30	11:29	2026-07-30	11:40	0.18	
Colégio Clemente Pavan	Painéis Frontais Colégio - Campanha Matrículas 2027		2026-07-14	09:40	2026-07-14	10:18	0.63	
Colégio Clemente Pavan	Painéis Frontais Colégio - Campanha Matrículas 2027		2026-07-14	10:33	2026-07-14	11:48	1.25	
Colégio Clemente Pavan	Agendar depoimentos Laços de Familia e Construindo Histórias CCP TBT	Agendamento de atividades	2026-07-13	19:07	2026-07-13	19:32	0.42	
Colégio Clemente Pavan	Agendar depoimentos Laços de Familia e Construindo Histórias CCP TBT	Agendamento de atividades	2026-07-14	15:16	2026-07-14	15:57	0.68	
Colégio Clemente Pavan	Agendar depoimentos Laços de Familia e Construindo Histórias CCP TBT		2026-07-23	16:03	2026-07-23	17:13	1.17	
Colégio Clemente Pavan	Story para WhatsApp - Começou a rematrícula		2026-07-13	09:26	2026-07-13	09:37	0.18	
Colégio Clemente Pavan	Criação dos Displays GoodBom - Matrículas 2027		2026-07-30	09:21	2026-07-30	10:03	0.7	
Colégio Clemente Pavan	Lembrança de retorno as aulas em 03/08		2026-07-27	20:30	2026-07-27	21:15	0.75	
Visconde Carnes	No card	Campanhas do FDS	2026-07-03	08:58	2026-07-03	09:04	0.1	
Visconde Carnes	No card	Campanhas de terça	2026-07-07	09:38	2026-07-07	09:49	0.18	
Visconde Carnes	No card	Campanhas de quarta maluca	2026-07-14	12:01	2026-07-14	12:08	0.12	
Visconde Carnes	No card	Subir anúncios de Terça e Quarta	2026-07-27	20:24	2026-07-27	20:28	0.07	
Visconde Carnes	No card	Publicação de video de ofertas + Subir campanhas do final de semana	2026-07-31	16:47	2026-07-31	16:57	0.17	
Colégio Pedro & Rafael	No card	Organização de demandas	2026-07-01	10:35	2026-07-01	12:00	1.42	
Colégio Pedro & Rafael	No card	[Lumni <> Colégio Pedro e Rafael] Reunião Tática	2026-07-01	14:00	2026-07-01	15:00	1	
Colégio Pedro & Rafael	No card	Organização de demandas no CRM e Trello	2026-07-01	15:30	2026-07-01	16:21	0.85	
Colégio Pedro & Rafael	No card	Organização de demandas e Reunião Mari	2026-07-02	09:33	2026-07-02	10:57	1.4	
Colégio Pedro & Rafael	No card	Reunião Cris - CPR ATIVA	2026-07-02	14:00	2026-07-02	14:45	0.75	
Colégio Pedro & Rafael	No card	Vídeo Teaser - Matrículas 2027	2026-07-02	17:11	2026-07-02	18:00	0.82	
Colégio Pedro & Rafael	No card	Vídeo Teaser - Matrículas 2027	2026-07-02	18:29	2026-07-02	19:26	0.95	
Colégio Pedro & Rafael	No card	Vídeo Teaser - Matrículas 2027	2026-07-02	19:29	2026-07-02	19:57	0.47	
Colégio Pedro & Rafael	No card	Call Pedro CPR	2026-07-03	14:45	2026-07-03	15:15	0.5	
Colégio Pedro & Rafael	No card	Call Lumini	2026-07-07	11:30	2026-07-07	12:00	0.5	
Colégio Pedro & Rafael	No card	Alterações de preços na CPR STORE	2026-07-08	09:05	2026-07-08	09:48	0.72	Yes
Colégio Pedro & Rafael	No card	Ajustes no código e revisão de HTML de integração do CRM - Juntos no CPR	2026-07-08	09:52	2026-07-08	10:39	0.78	Yes
Colégio Pedro & Rafael	No card	[Lumni <> Colégio Pedro e Rafael] Reunião Tática	2026-07-08	14:00	2026-07-08	15:00	1	
Colégio Pedro & Rafael	No card	Envio de mensagens no CRM - Disparo de Rematriculas pelo número do MKT	2026-07-08	16:57	2026-07-08	17:31	0.57	
Colégio Pedro & Rafael	No card	Envio de mensagens no CRM - Disparo de Rematriculas pelo número do MKT	2026-07-08	18:26	2026-07-08	18:50	0.4	
Colégio Pedro & Rafael	No card	Call - 25 Anos CPR	2026-07-10	11:00	2026-07-10	12:00	1	
Colégio Pedro & Rafael	No card	Criativo para rematricula - Lembrete do prazo de pagamento	2026-07-14	16:45	2026-07-14	17:31	0.77	
Colégio Pedro & Rafael	No card	Criativo para rematricula - Lembrete do prazo de pagamento	2026-07-15	09:11	2026-07-15	09:34	0.38	
Colégio Pedro & Rafael	No card	[Lumni <> Colégio Pedro e Rafael] Reunião Tática	2026-07-15	14:00	2026-07-15	15:00	1	
Colégio Pedro & Rafael	No card	Criação de templates no CRM + Aniversariantes	2026-07-15	15:35	2026-07-15	16:07	0.53	
Colégio Pedro & Rafael	No card	Materiais Dia dos Pais	2026-07-16	09:05	2026-07-16	09:13	0.13	Yes
Colégio Pedro & Rafael	No card	Materiais Dia dos Pais	2026-07-16	09:21	2026-07-16	10:33	1.2	Yes
Colégio Pedro & Rafael	No card	Call Lumini	2026-07-16	12:01	2026-07-16	12:42	0.68	
Colégio Pedro & Rafael	No card	Ajustes CRM	2026-07-17	13:13	2026-07-17	13:44	0.52	
Colégio Pedro & Rafael	No card	Materiais para plantão de matrículas	2026-07-21	11:02	2026-07-21	11:45	0.72	
Colégio Pedro & Rafael	No card	Materiais para plantão de matrículas	2026-07-21	12:13	2026-07-21	12:42	0.48	
Colégio Pedro & Rafael	No card	Materiais para plantão de matrículas	2026-07-21	14:20	2026-07-21	15:10	0.83	
Colégio Pedro & Rafael	No card	Materiais para plantão de matrículas	2026-07-21	15:27	2026-07-21	16:05	0.63	
Colégio Pedro & Rafael	No card	Criação de dashboard de campanha do Meta Integrado	2026-07-22	09:54	2026-07-22	10:56	1.03	Yes
Colégio Pedro & Rafael	No card	[Lumni <> Colégio Pedro e Rafael] Reunião Tática	2026-07-22	14:00	2026-07-22	16:00	2	
Colégio Pedro & Rafael	No card	Criação de dashboard de campanha do Meta Integrado	2026-07-22	19:59	2026-07-22	20:24	0.42	Yes
Colégio Pedro & Rafael	No card	Call de alinhamento de CRM - Jade e Bruna	2026-07-23	11:18	2026-07-23	11:39	0.35	
Colégio Pedro & Rafael	No card	Fechamento de arquivos para impressão - Painel Frontal Campanha CCP 2027	2026-07-23	18:02	2026-07-23	18:28	0.43	
Colégio Pedro & Rafael	No card	Organização de demandas	2026-07-27	09:58	2026-07-27	10:15	0.28	
Colégio Pedro & Rafael	No card	Vetorização e fechamento de adesivo para salas de CBA e Cantina	2026-07-28	10:04	2026-07-28	11:08	1.07	Yes
Colégio Pedro & Rafael	No card	Ajustes na campanha Juntos no CPR	2026-07-28	11:19	2026-07-28	12:11	0.87	
Colégio Pedro & Rafael	No card	Organização de demandas	2026-07-28	12:31	2026-07-28	12:38	0.12	
Colégio Pedro & Rafael	No card	Sugestões de subetapas do CRM	2026-07-29	08:53	2026-07-29	09:17	0.4	
Colégio Pedro & Rafael	No card	Sugestões de subetapas do CRM	2026-07-29	10:17	2026-07-29	10:54	0.62	
Colégio Pedro & Rafael	No card	[Lumni <> Colégio Pedro e Rafael] Reunião Tática	2026-07-29	14:00	2026-07-29	15:00	1	
Colégio Pedro & Rafael	No card	Reunião Pedro	2026-07-30	12:00	2026-07-30	12:16	0.27	
Colégio Pedro & Rafael	No card	Atualização de parceiros - Clube de Benefícios (Ótica Carol)	2026-07-30	22:29	2026-07-30	22:57	0.47	Yes
Colégio Pedro & Rafael	No card	Página e automação de registro de ausência de colaborador	2026-07-31	09:34	2026-07-31	10:10	0.6	Yes
Colégio Pedro & Rafael	No card	Página e automação de registro de ausência de colaborador	2026-07-31	10:34	2026-07-31	10:50	0.27	Yes
Colégio Pedro & Rafael	No card	Página e automação de registro de ausência de colaborador	2026-07-31	11:17	2026-07-31	12:22	1.08	Yes
Colégio Pedro & Rafael	No card	Página e automação de registro de ausência de colaborador	2026-07-31	12:34	2026-07-31	12:48	0.23	Yes
Colégio Pedro & Rafael	No card	Página e automação de registro de ausência de colaborador	2026-07-31	13:08	2026-07-31	13:19	0.18	Yes
Colégio Pedro & Rafael	Ajustes técnicos no CRM e Site CPR		2026-07-14	14:55	2026-07-14	15:14	0.32	Yes
Colégio Pedro & Rafael	Dia dos Pais 2026	Arte balde de pipoca - Dia dos pais	2026-07-10	12:47	2026-07-10	13:29	0.7	Yes
Colégio Pedro & Rafael	Dia dos Pais 2026	Arte balde de pipoca - Dia dos pais	2026-07-12	19:44	2026-07-12	20:05	0.35	Yes
Colégio Pedro & Rafael	Chá das Avós 2026		2026-07-20	15:50	2026-07-20	16:23	0.55	
Colégio Pedro & Rafael	Chá das Avós 2026		2026-07-20	16:27	2026-07-20	16:40	0.22	
Colégio Pedro & Rafael	Programar Aniversariantes		2026-07-28	14:42	2026-07-28	14:54	0.2	
Workman Pontes Rolantes	No card	Call - Manoel Workman	2026-07-03	14:00	2026-07-03	14:15	0.25	
Workman Pontes Rolantes	No card	Análise de campanhas e geração de nf	2026-07-21	11:49	2026-07-21	12:13	0.4	
Workman Pontes Rolantes	Criativos de produtos importação	Criativos de WhatsApp	2026-07-29	17:00	2026-07-29	17:30	0.5	
Workman Pontes Rolantes	Criativos de produtos importação	Criativos de WhatsApp	2026-07-29	19:14	2026-07-29	20:22	1.13	
Workman Pontes Rolantes	Criativos de produtos importação	Criativos de WhatsApp	2026-07-29	21:05	2026-07-29	21:19	0.23	
Workman Pontes Rolantes	Catálogo de produtos importados	Geração dos prompts no Claude e GPT	2026-07-29	11:45	2026-07-29	12:30	0.75	
Workman Pontes Rolantes	Catálogo de produtos importados	Edição do catálogo V1	2026-07-29	16:05	2026-07-29	16:57	0.87	
Workman Pontes Rolantes	Catálogo de produtos importados	Edição do catálogo V1	2026-07-29	21:20	2026-07-29	22:03	0.72	
La Finca	No card	Análise de bug de integração Bling e Site	2026-07-06	18:23	2026-07-06	18:34	0.18	
La Finca	No card	Configurações avançadas de segurança	2026-07-06	19:03	2026-07-06	19:32	0.48	
La Finca	No card	Revisão de plugins	2026-07-07	09:29	2026-07-07	09:38	0.15	
La Finca	No card	Acompanhamento de bug de CPF	2026-07-08	12:30	2026-07-08	13:00	0.5	
La Finca	No card	Verificação de lentidão site	2026-07-10	09:30	2026-07-10	10:15	0.75	
La Finca	No card	Suporte para gestão do site - Falha em pedidos	2026-07-21	09:30	2026-07-21	10:00	0.5	
Crisabel Panificadora	No card	Alterações no banner do estacionamento	2026-07-23	15:16	2026-07-23	15:34	0.3	
Fast Escova	No card	Otimização Google Meu Negócio	2026-07-20	09:24	2026-07-20	11:20	1.93	
Fast Escova	No card	Otimização Google Meu Negócio	2026-07-20	12:13	2026-07-20	12:31	0.3	
Fast Escova	No card	Otimização Google Meu Negócio	2026-07-20	14:21	2026-07-20	15:08	0.78	
Fast Escova	No card	Análise de campanhas provisão de orçamento	2026-07-21	10:53	2026-07-21	11:01	0.13	
Alquimia Café Especiais	No card	Ajustes no site que estava com layout quebrado	2026-07-14	16:29	2026-07-14	16:47	0.3	
Alquimia Café Especiais	No card	Atualização de plugins e manutenção site	2026-07-28	14:22	2026-07-28	14:41	0.32	
FAUNA	No card	Revisão dos botões de menu - Fauna Projetos	2026-07-14	11:45	2026-07-14	12:00	0.25	
FAUNA	No card	Revisão dos botões de menu - Fauna Projetos	2026-07-14	12:41	2026-07-14	13:03	0.37	
FAUNA	No card	Revisão dos botões de menu - Fauna Projetos	2026-07-14	14:30	2026-07-14	14:49	0.32	
FAUNA	Alterações site - Fauna Viagens	Criar banner de newsletter	2026-07-13	15:11	2026-07-13	15:54	0.72	
FAUNA	Reativação Blog - Fauna Projetos		2026-07-13	16:18	2026-07-13	16:33	0.25	
FAUNA	Reativação Blog - Fauna Projetos		2026-07-13	16:30	2026-07-13	17:13	0.72	
2027 - CAMPANHA DE MATRÍCULAS CPR	Apresentação institucional para disparo WhatsApp	Revisão de material	2026-07-29	11:14	2026-07-29	11:31	0.28	
2027 - CAMPANHA DE MATRÍCULAS CPR	Definição de tabela de valores, descontos e materiais	Edição das tabelas enviada pelo ClassApp	2026-07-07	14:16	2026-07-07	14:53	0.62	
2027 - CAMPANHA DE MATRÍCULAS CPR	Definição de tabela de valores, descontos e materiais	Criação da tabela de valores	2026-07-17	09:17	2026-07-17	09:40	0.38	
2027 - CAMPANHA DE MATRÍCULAS CPR	Definição de tabela de valores, descontos e materiais	Criação da tabela de valores	2026-07-17	09:51	2026-07-17	10:12	0.35	
2027 - CAMPANHA DE MATRÍCULAS CPR	Definição de tabela de valores, descontos e materiais	Criação da tabela de valores	2026-07-17	10:33	2026-07-17	10:42	0.15	
2027 - CAMPANHA DE MATRÍCULAS CPR	Painéis frontais das unidades	Criação dos painéis da Unidade 3	2026-07-28	15:01	2026-07-28	15:46	0.75	
2027 - CAMPANHA DE MATRÍCULAS CPR	Painéis frontais das unidades	Criação dos painéis da Unidade 1 e Quadra	2026-07-28	16:13	2026-07-28	17:41	1.47	
2027 - CAMPANHA DE MATRÍCULAS CPR	Campanha CPR ATIVA		2026-07-03	09:13	2026-07-03	09:24	0.18	
2027 - CAMPANHA DE MATRÍCULAS CPR	Campanha CPR ATIVA	Alteração	2026-07-03	10:41	2026-07-03	12:38	1.95	
2027 - CAMPANHA DE MATRÍCULAS CPR	Campanha CPR ATIVA	Alteração	2026-07-03	15:25	2026-07-03	16:08	0.72	
2027 - CAMPANHA DE MATRÍCULAS CPR	Campanha CPR ATIVA	Alteração	2026-07-06	12:02	2026-07-06	12:13	0.18	
2027 - CAMPANHA DE MATRÍCULAS CPR	Campanha CPR ATIVA	Alteração	2026-07-06	15:24	2026-07-06	16:45	1.35	
2027 - CAMPANHA DE MATRÍCULAS CPR	Mobile impresso para mídia indoor		2026-07-15	09:35	2026-07-15	09:45	0.17	
2027 - CAMPANHA DE MATRÍCULAS CPR	Roteiros de vídeos para patrocinados	Preparação inicial dos roteiros	2026-07-23	09:22	2026-07-23	09:35	0.22	Yes
2027 - CAMPANHA DE MATRÍCULAS CPR	Roteiros de vídeos para patrocinados	Desenvolvimento dos roteiros	2026-07-23	09:56	2026-07-23	10:27	0.52	Yes
2027 - CAMPANHA DE MATRÍCULAS CPR	Roteiros de vídeos para patrocinados	Desenvolvimento dos roteiros	2026-07-23	10:35	2026-07-23	11:15	0.67	Yes
2027 - CAMPANHA DE MATRÍCULAS CPR	Roteiros de vídeos para patrocinados	Desenvolvimento dos roteiros	2026-07-23	11:13	2026-07-23	11:17	0.07	Yes
2027 - CAMPANHA DE MATRÍCULAS CPR	Vinheta de fechamento - Campanha 2027	Vinheta de fechamento - Campanha 2027	2026-07-10	10:15	2026-07-10	11:15	1	
2027 - CAMPANHA DE MATRÍCULAS CPR	Vinheta de fechamento - Campanha 2027	Vinheta de fechamento - Campanha 2027	2026-07-10	11:48	2026-07-10	12:26	0.63	
2027 - CAMPANHA DE MATRÍCULAS CPR	Criação de Patrocinados para Infantil		2026-07-13	09:40	2026-07-13	10:20	0.67	
2027 - CAMPANHA DE MATRÍCULAS CPR	Criação de Patrocinados para Infantil		2026-07-13	10:24	2026-07-13	11:08	0.73	
2027 - CAMPANHA DE MATRÍCULAS CPR	Criação de Patrocinados para Infantil		2026-07-13	11:16	2026-07-13	12:22	1.1	
2027 - CAMPANHA DE MATRÍCULAS CPR	Criação de Patrocinados para Infantil		2026-07-13	14:07	2026-07-13	14:40	0.55	
2027 - CAMPANHA DE MATRÍCULAS CPR	Criação de Patrocinados para Infantil		2026-07-15	09:49	2026-07-15	11:05	1.27	
2027 - CAMPANHA DE MATRÍCULAS CPR	Criação de Patrocinados para Infantil		2026-07-15	11:11	2026-07-15	11:22	0.18	
2027 - CAMPANHA DE MATRÍCULAS CPR	Criação de Patrocinados para Infantil		2026-07-15	11:42	2026-07-15	12:03	0.35	
2027 - CAMPANHA DE MATRÍCULAS CPR	Disparos CRM - Campanha CPR Ativa	Configuração dos disparos	2026-07-07	17:09	2026-07-07	17:39	0.5	
